,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
75,2022-10-11,31.4,31.74,31.29,31.45,1642294
74,2022-10-12,31.68,31.68,31.13,31.25,882105
73,2022-10-13,31.5,31.5,31.2,31.3,1113732
72,2022-10-14,31.45,31.69,31.3,31.64,1794723
71,2022-10-17,31.63,31.96,31.5,31.65,2195375
70,2022-10-18,31.65,31.95,31.22,31.26,3251595
69,2022-10-19,27.65,27.9,27.26,27.64,2563470
68,2022-10-20,27.75,27.89,27.5,27.6,1201415
67,2022-10-21,27.7,27.73,27.27,27.61,967967
66,2022-10-24,27.9,27.96,27.6,27.77,1637641
65,2022-10-25,27.84,28.27,27.8,27.98,2555786
64,2022-10-26,27.39,27.39,26.5,26.61,2918160
63,2022-10-27,26.75,26.83,26.5,26.58,842348
62,2022-10-28,26.58,26.58,25.95,26.01,1459404
61,2022-10-31,26.05,26.46,26.0,26.11,586027
102,2022-11-01,26.26,26.95,26.15,26.85,1309194
101,2022-11-02,26.8,27.54,26.8,27.33,1610363
100,2022-11-03,27.39,27.4,26.8,26.89,1562031
99,2022-11-04,26.6,27.1,26.56,26.76,1304242
98,2022-11-07,26.99,27.29,26.7,27.14,1518524
97,2022-11-08,27.12,27.6,26.2,27.31,2616456
96,2022-11-10,27.33,28.1,27.33,28.01,3127155
95,2022-11-11,28.15,28.25,27.75,28.01,1359756
94,2022-11-14,28.0,28.0,27.6,27.85,695263
93,2022-11-15,28.1,28.35,27.86,27.97,1091053
92,2022-11-16,28.0,28.24,27.85,28.15,1384991
91,2022-11-17,28.14,28.67,28.04,28.16,3030343
90,2022-11-18,28.15,28.24,27.85,28.04,756086
89,2022-11-21,28.02,28.11,27.95,28.01,341154
88,2022-11-22,28.1,28.25,27.87,27.92,720195
87,2022-11-23,28.0,28.14,27.8,27.9,523717
86,2022-11-24,27.9,28.05,27.9,27.92,527730
85,2022-11-25,28.19,28.2,27.8,27.83,1121993
84,2022-11-28,27.41,27.56,27.01,27.41,1289598
83,2022-11-29,27.35,27.69,27.3,27.61,343272
82,2022-11-30,27.7,28.35,27.7,28.09,1523992
124,2022-12-01,28.29,28.31,27.95,27.99,559685
123,2022-12-02,28.0,28.04,27.6,27.74,635442
122,2022-12-05,27.6,28.0,27.1,27.13,1082268
121,2022-12-06,27.19,27.26,27.0,27.11,592959
120,2022-12-07,27.11,27.55,27.1,27.45,428266
119,2022-12-08,27.49,27.63,27.25,27.28,325694
118,2022-12-09,27.4,27.4,27.15,27.22,371641
117,2022-12-12,27.2,27.35,26.9,27.18,818081
116,2022-12-13,27.2,27.2,27.0,27.11,331997
115,2022-12-14,27.12,27.2,27.03,27.13,316441
114,2022-12-15,27.2,27.2,26.71,26.75,648506
113,2022-12-16,26.85,28.25,26.85,27.93,2551713
112,2022-12-19,28.1,28.1,27.16,27.61,1185920
111,2022-12-20,27.64,27.64,26.47,26.83,1199717
110,2022-12-21,26.7,27.1,26.55,26.6,449877
109,2022-12-22,26.61,26.9,26.52,26.77,498292
108,2022-12-23,26.5,27.6,26.5,26.91,843804
107,2022-12-26,26.85,27.28,26.8,27.14,485639
106,2022-12-27,27.38,27.69,26.9,27.19,777680
105,2022-12-28,27.19,27.19,26.2,26.35,1736769
104,2022-12-29,26.5,26.8,26.18,26.56,636788
103,2022-12-30,26.56,27.0,26.45,26.65,748888
