,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
21,2022-08-26,248.39,248.39,240.0,242.85,174938
20,2022-08-29,240.25,243.5,238.75,242.77,132496
19,2022-08-30,243.6,246.0,238.81,239.31,103099
18,2022-08-31,242.39,242.39,237.06,238.36,367789
60,2022-09-01,240.0,240.15,238.0,238.29,192856
59,2022-09-02,239.85,239.97,237.5,237.99,114182
58,2022-09-05,238.99,238.99,232.75,234.04,223663
57,2022-09-06,234.0,235.99,232.1,232.94,309769
56,2022-09-07,232.1,234.49,230.82,230.98,248796
55,2022-09-08,232.48,232.55,230.8,231.13,227190
54,2022-09-09,232.75,232.96,230.0,230.9,356877
53,2022-09-12,231.9,231.9,230.5,230.82,43332
52,2022-09-13,231.75,233.0,230.7,232.14,127847
51,2022-09-14,232.45,232.95,230.0,230.58,255869
50,2022-09-15,231.0,231.9,226.01,227.64,318924
49,2022-09-16,229.95,234.49,225.3,229.42,1692960
48,2022-09-19,231.0,237.7,229.49,233.36,2445476
47,2022-09-20,233.4,233.99,231.5,233.17,462108
46,2022-09-21,233.9,234.0,230.0,233.02,450660
45,2022-09-22,233.0,235.0,229.1,234.25,605072
44,2022-09-23,234.5,234.5,229.25,229.91,252800
43,2022-09-26,230.99,234.0,230.0,233.56,473682
42,2022-09-27,234.4,234.4,229.2,231.32,629243
41,2022-09-28,231.51,248.66,231.0,231.81,851630
40,2022-09-29,231.81,232.75,229.02,230.65,181075
39,2022-09-30,231.75,232.3,229.0,231.52,251664
81,2022-10-03,230.4,233.13,230.2,230.84,200273
80,2022-10-04,231.0,233.5,231.0,232.99,230476
79,2022-10-05,233.65,234.0,232.0,232.43,108264
78,2022-10-06,231.3,237.5,231.3,236.41,479157
77,2022-10-07,236.4,242.0,235.0,239.6,680212
76,2022-10-10,240.0,242.0,236.8,237.55,205002
75,2022-10-11,238.01,241.1,237.6,238.69,324271
74,2022-10-12,238.99,239.5,236.9,237.51,145493
73,2022-10-13,237.52,238.0,236.51,237.12,214850
72,2022-10-14,237.95,238.0,236.8,237.43,119409
71,2022-10-17,237.95,238.0,235.51,236.08,170992
70,2022-10-18,235.48,237.48,235.01,235.86,117283
69,2022-10-19,239.0,242.99,237.6,242.21,730216
68,2022-10-20,243.5,244.5,241.51,243.82,208639
67,2022-10-21,244.9,247.0,242.2,246.57,380612
66,2022-10-24,248.2,248.79,246.9,247.15,393552
65,2022-10-25,246.2,249.74,246.0,248.06,495783
64,2022-10-26,248.99,249.0,244.75,245.17,521177
63,2022-10-27,243.06,248.5,243.06,245.54,409007
62,2022-10-28,233.6,236.36,232.0,234.62,464273
61,2022-10-31,235.9,236.4,234.2,235.2,200804
102,2022-11-01,235.5,239.89,235.5,239.15,133131
101,2022-11-02,238.99,242.1,237.7,239.15,251328
100,2022-11-03,240.48,241.0,237.7,239.99,89593
99,2022-11-04,239.94,242.49,237.0,239.76,334020
98,2022-11-07,239.5,242.5,239.5,241.57,74263
97,2022-11-08,240.11,245.0,240.11,244.03,888933
96,2022-11-10,243.0,246.6,243.0,244.94,592315
95,2022-11-11,245.0,246.25,244.0,245.0,535566
94,2022-11-14,243.09,244.8,241.06,241.96,232207
93,2022-11-15,241.95,244.75,240.17,244.52,360108
92,2022-11-16,245.4,262.85,244.25,258.91,2917982
91,2022-11-17,261.0,261.0,254.5,257.55,1087400
90,2022-11-18,257.85,261.0,253.16,257.33,452567
89,2022-11-21,255.0,258.95,253.5,254.73,164658
88,2022-11-22,254.25,266.5,254.25,260.38,1881312
87,2022-11-23,260.38,262.75,259.3,262.06,394475
86,2022-11-24,261.5,266.01,261.01,264.28,578765
85,2022-11-25,266.0,269.89,266.0,268.3,598200
84,2022-11-28,264.5,265.2,258.1,262.46,899671
83,2022-11-29,261.1,268.99,257.51,260.42,1044968
82,2022-11-30,261.45,264.49,258.76,262.99,457489
124,2022-12-01,263.97,267.9,262.99,264.07,871515
123,2022-12-02,265.95,268.1,262.1,265.74,1213353
122,2022-12-05,266.7,267.25,260.2,261.78,574394
121,2022-12-06,261.1,263.89,260.5,261.36,1228932
120,2022-12-07,263.0,264.95,261.05,261.67,449706
119,2022-12-08,264.25,264.25,260.15,262.93,959715
118,2022-12-09,265.34,265.34,261.14,262.01,256008
117,2022-12-12,261.5,262.5,260.35,260.61,159279
116,2022-12-13,261.0,270.0,260.5,269.2,1872357
115,2022-12-14,269.2,271.0,266.31,269.02,1070289
114,2022-12-15,282.0,289.19,276.0,276.72,3458218
113,2022-12-16,277.05,281.0,274.6,275.67,918629
112,2022-12-19,276.01,276.01,272.0,272.52,258067
111,2022-12-20,273.0,273.25,264.0,264.97,771142
110,2022-12-21,264.9,268.0,259.7,260.11,492699
109,2022-12-22,262.0,265.0,260.11,262.88,237219
108,2022-12-23,262.0,263.0,257.5,259.19,378583
107,2022-12-26,259.0,265.4,259.0,264.69,327545
106,2022-12-27,265.45,265.45,260.25,261.26,164502
105,2022-12-28,263.0,263.0,253.5,256.18,567995
104,2022-12-29,257.01,261.98,256.18,260.79,342240
103,2022-12-30,259.01,264.0,259.01,262.01,296703
